epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1769,1.04778,3.34194,1.24342,0.00222,0.66667,0.08412,0.08365,0.94603,4.25136,1.3841,4e-05,4e-05,4e-05
2,19.6216,1.00607,3.18746,1.26114,0.00278,0.83333,0.16877,0.16775,0.74723,3.97759,1.12521,9.67e-05,9.67e-05,9.67e-05
3,31.2971,0.80669,2.81927,1.17599,0.00278,0.83333,0.16921,0.16833,0.69938,3.88455,1.01654,0.00014944,0.00014944,0.00014944
4,43.5884,0.75959,2.6398,1.05878,0.00333,1,0.22654,0.17966,0.73108,3.77028,0.95312,0.00019822,0.00019822,0.00019822
5,55.0893,0.74791,1.78597,1.08189,0.00333,1,0.33987,0.25412,0.75916,3.62481,0.91629,0.00024304,0.00024304,0.00024304
6,67.2657,0.75389,1.90284,1.01389,0.58109,0.5,0.53067,0.34827,0.76774,3.48855,0.88322,0.0002839,0.0002839,0.0002839
7,78.9437,0.64211,2.13033,0.98843,1,0.31184,0.71345,0.47219,0.73024,3.38118,0.88063,0.0003208,0.0003208,0.0003208
8,89.0042,0.70096,1.43848,0.92164,0.8899,0.66667,0.72693,0.43706,0.73984,3.33401,0.87966,0.00035374,0.00035374,0.00035374
9,99.0899,0.63179,1.38818,0.90101,0.00726,1,0.72689,0.42736,0.71224,3.32777,0.87959,0.00038272,0.00038272,0.00038272
10,106.942,0.61597,1.26566,0.89353,0.00333,1,0.73159,0.49777,0.7756,3.38046,0.8967,0.00040774,0.00040774,0.00040774
11,114.683,0.74225,1.44478,0.98589,0.00333,1,0.71343,0.52092,0.83818,3.46403,0.93347,0.0004288,0.0004288,0.0004288
12,122.395,0.87361,1.43287,1.03656,0.00333,1,0.66761,0.54495,0.81005,3.54848,0.94959,0.0004459,0.0004459,0.0004459
13,129.975,0.69294,1.35422,0.94215,0.00333,1,0.66763,0.5837,0.75731,3.55892,0.93617,0.00045904,0.00045904,0.00045904
14,137.816,0.67448,1.42867,0.95983,0.00333,1,0.6521,0.54031,0.72325,3.48339,0.91878,0.00046822,0.00046822,0.00046822
15,145.436,0.86533,1.51244,0.97162,0.00333,1,0.6521,0.54031,0.72325,3.48339,0.91878,0.00047344,0.00047344,0.00047344
16,152.945,0.65555,1.22269,0.92811,0.72178,0.5,0.55923,0.46491,0.76611,3.51664,0.92759,0.0004747,0.0004747,0.0004747
17,160.512,0.70981,1.2274,0.90403,1,0.41824,0.51553,0.41224,0.82357,3.55791,0.97879,0.000472,0.000472,0.000472
18,168.098,0.6197,1.11761,0.94532,1,0.41824,0.51553,0.41224,0.82357,3.55791,0.97879,0.00046534,0.00046534,0.00046534
19,175.631,0.63195,1.30506,0.94099,1,0.44396,0.50986,0.40283,0.96923,3.49598,1.0494,0.00045472,0.00045472,0.00045472
20,183.014,0.73524,1.72863,0.96742,0.94523,0.33333,0.46431,0.36562,1.05232,3.58125,1.07947,0.00044014,0.00044014,0.00044014
21,190.728,0.55397,1.55947,0.86967,0.94523,0.33333,0.46431,0.36562,1.05232,3.58125,1.07947,0.0004216,0.0004216,0.0004216
22,199.226,0.49451,1.55908,0.88808,1,0.32551,0.37998,0.28535,1.06731,3.63369,1.09464,0.0003991,0.0003991,0.0003991
23,207.922,0.50542,1.56703,0.81853,1,0.32551,0.37998,0.28535,1.06731,3.63369,1.09464,0.00037264,0.00037264,0.00037264
24,215.786,0.49299,1.45993,0.77824,1,0.31579,0.35352,0.27486,1.00915,3.6679,1.08532,0.00034222,0.00034222,0.00034222
25,223.506,0.47571,1.4844,0.82655,1,0.31579,0.35352,0.27486,1.00915,3.6679,1.08532,0.00030784,0.00030784,0.00030784
26,233.364,0.40156,1.44631,0.84693,1,0.3137,0.38,0.28744,0.99392,3.63323,1.04905,0.0002695,0.0002695,0.0002695
27,241.879,0.49648,1.49568,0.83537,1,0.3137,0.38,0.28744,0.99392,3.63323,1.04905,0.0002272,0.0002272,0.0002272
28,251.07,0.43313,1.49934,0.82611,1,0.3243,0.45261,0.34934,0.97611,3.45251,1.01059,0.00018094,0.00018094,0.00018094
29,259.493,0.43011,1.53301,0.84843,1,0.3243,0.45261,0.34934,0.97611,3.45251,1.01059,0.00013072,0.00013072,0.00013072
30,268.119,0.46673,1.48283,0.81463,1,0.3243,0.45261,0.34934,0.97611,3.45251,1.01059,7.654e-05,7.654e-05,7.654e-05
